year,co2_power_industry_long
2023,
2022,0.2408
2021,0.2449
2020,0.2314
2019,0.1992
2018,0.2143
2017,0.2808
2016,0.5085
2015,0.1917
2014,0.2529
2013,0.0558
2012,0.0232
2011,0.02
2010,0.0699
2009,0.0379
2008,0.027
2007,0.0866
2006,0.1051
2005,0.0685
2004,0.0844
2003,0.0397
2002,0.0525
2001,0.1856
2000,0.0992
1999,0.0863
1998,0.138
1997,0.0545
1996,0.0513
1995,0.0578
1994,0.1059
1993,0.0642
1992,0.0417
1991,0.0963
1990,0.0674
1989,0.0385
1988,0.0481
1987,0.0385
1986,0.0353
1985,0.0385
1984,0.1155
1983,0.0385
1982,0.0225
1981,0.0193
1980,0.016
1979,0.077
1978,0.0738
1977,0.0642
1976,0.0481
1975,0.0481
1974,0.0642
1973,0.0674
1972,0.0995
1971,0.0802
1970,0.0802
1969,
1968,
1967,
1966,
1965,
1964,
1963,
1962,
1961,
1960,
