nom,region,prefecture,commune,canton,localite,creation,lat,lon
Forêt classée des Deux Bena,Plateaux,Wawa,Wawa 1,Tomégbé,KPETE BENA,Nsp,7.524611636036639,0.6234044256092344
Yohoeve,Maritime,Zio,Zio 1,Gblainvié,GLAINVIE KPETSI,1884,6.460328389585671,1.1895575212263347
Forêt classée de Kemeni,Centrale,Tchaoudjo,Tchaoudjo 3,Kéméni,KEMENI,Nsp,9.238832730631103,1.240708855674568
Forêt classée de Sotouboua,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Sotouboua,1952,8.509254958796712,0.9916654856417337
Tchorogo,Centrale,Blitta,Blitta 1,Blitta,BLITTA GARE,1945,8.35495338065498,0.9861289964257395
Forêt classée Aou-mono,Centrale,Sotouboua,Sotouboua 2,Séssaro,BOSINAMBO,1954,8.6572214128874,1.2011626535258582
Forêt classée de Mont Balam,Centrale,Blitta,Blitta 3,Pagala-Village,OBLAOMI,Nsp,8.231548473494339,0.9364409981810508
Forêt classée Assoukoko,Centrale,Blitta,Blitta 3,Atchintsè,ASSOUKOKO,Nsp,8.012678733859586,0.6172492066832276
Forêt classée de You,Centrale,Blitta,Blitta 1,Blitta,YOU,Nsp,8.299974398881103,0.9891282051293601
Forêt classée Behao,Kara,Kéran,Kéran 1,Kantè,ATTETOU,1954,9.913627637161117,1.035766436040956
Forêt classée Manda,Kara,Doufelgou,Doufelgou 3,Léon,ALOUM-LEON,1954,9.695694742627426,0.9807793329748636
Forêt classée de Koularo,Kara,Doufelgou,Doufelgou 3,Léon,Kpesside,1954,9.65397337048678,0.9836170500450165
Forêt classée de Kabou,Kara,Bassar,Bassar 3,Kabou,BARRAGE KABOU,1954,9.445064584502344,0.8408314363498433
Forêt classée de Sirika,Kara,Binah,Binah 2,Sirka,KADJAMADE,Nsp,9.543840029726125,1.2777622636025092
Forêt classée de Kindja,Kara,Kozah,Kozah 4,Djamdè,DJAMDE,1954,9.533273342689403,1.1099667192739957
Réserve Forestière de Doumboua,Kara,Assoli,Assoli 1,Bafilo,BAFILO,1954,9.33155636362066,1.2265024271107088
Forêt classée de Sadjibou,Kara,Dankpen,Dankpen 3,Nawaré,SADJIBOU,1955,9.587009423837896,0.5144383334933134
Forêt classée de Natiwah,Kara,Kéran,Kéran 3,Nadoba,NATIWAH,1958,10.17384439646249,0.9685912636607014
Forêt classée de Wartema,Kara,Kéran,Kéran 3,Warengo,Watema,Nsp,10.058118864441505,1.1174613367284316
Forêt de Biragou,Kara,Doufelgou,Doufelgou 1,Siou,BIRGOU,1954,9.813454584389946,1.2058586635518203
