secteur,gaz,annee,value
Total,Total,2018,40843.34
Total,Dioxyde de carbone (CO2),2018,38783.08
Total,Méthane(CH4),2018,1926.89
Total,Protoxyde d'azote (N2O),2018,133.37
Energie,Total,2018,2517.92
Energie,Dioxyde de carbone (CO2),2018,2007.05
Energie,Méthane(CH4),2018,434.87
Energie,Protoxyde d'azote (N2O),2018,76.0
Procédés Industriels et Utilisation des Produits (PIUP),Total,2018,2480.79
Procédés Industriels et Utilisation des Produits (PIUP),Dioxyde de carbone (CO2),2018,1095.63
Procédés Industriels et Utilisation des Produits (PIUP),Méthane(CH4),2018,1385.16
Procédés Industriels et Utilisation des Produits (PIUP),Protoxyde d'azote (N2O),2018,0.0
"Agriculture, Foresterie et autres Affectations des Terres (AFAT)",Total,2018,35830.45
"Agriculture, Foresterie et autres Affectations des Terres (AFAT)",Dioxyde de carbone (CO2),2018,35677.83
"Agriculture, Foresterie et autres Affectations des Terres (AFAT)",Méthane(CH4),2018,95.52
"Agriculture, Foresterie et autres Affectations des Terres (AFAT)",Protoxyde d'azote (N2O),2018,57.1
Déchets,Total,2018,14.18
Déchets,Dioxyde de carbone (CO2),2018,2.57
Déchets,Méthane(CH4),2018,11.34
Déchets,Protoxyde d'azote (N2O),2018,0.27
