year,combustible_renew_pct
2023,
2022,
2021,
2020,
2019,
2018,
2017,
2016,
2015,
2014,44.1332084819761
2013,44.1339149109469
2012,44.0525490250074
2011,42.6595343335715
2010,41.6811851674944
2009,40.4978096271898
2008,45.7263492140328
2007,46.9567325655129
2006,47.1445267967864
2005,46.1685179118416
2004,45.6523331272048
2003,45.0175956601662
2002,46.403400822082
2001,46.877041448949
2000,45.6252700479833
1999,44.3869883138391
1998,45.079303649957
1997,46.7543700006066
1996,44.9375489344741
1995,48.6174035406728
1994,49.4318536911534
1993,54.324676785394
1992,52.944599023252
1991,51.7755782821881
1990,51.337038092524
1989,83.5995796111403
1988,83.5688913767441
1987,82.7910002168221
1986,83.2179215472396
1985,87.8866076072838
1984,86.9013777418178
1983,87.5453409824479
1982,82.9920173884064
1981,84.8807724703132
1980,84.1826166584256
1979,82.4157603286342
1978,83.5409643161827
1977,83.8371745348855
1976,86.9438370841223
1975,84.8365184126612
1974,86.4738424582339
1973,85.6696646316952
1972,83.5540923154435
1971,83.6084611965826
1970,
1969,
1968,
1967,
1966,
1965,
1964,
1963,
1962,
1961,
1960,
