year,ch4_agriculture,ch4_total,clean_cooking_national,clean_cooking_rural,clean_cooking_urban,co2_building_energy,co2_deforestation,co2_industrial_combustion,co2_power_industry,co2_total,co2_transport,cook_charcoal_pct,cook_electricity_pct,cook_lpg_pct,cook_wood_pct,elec_access_national,elec_access_rural,elec_access_urban,elec_connection_cost_pct,elec_connection_days,elec_getting_rank,energy_intensity,firms_outages_pct,forest_area_pct,forest_area_sqkm,forest_depletion_usd,forest_rents_pct_gdp,ghg_per_capita,ghg_total_excl_lulucf,ghg_total_incl_lulucf,outages_value_lost_pct,renewable_energy_pct
1970,0.5263,1.4098,,,,0.0567,,0.0,0.0802,0.3481,0.2066,,,,,,,,,,,,,,,10675141.8898283,6.38800580954129,0.90803469399736,1.9953,,,
1971,0.5024,1.3998,,,,0.0567,,0.0,0.0802,0.3723,0.2066,,,,,,,,,,,,,,,9518457.61942403,4.97557071631962,0.883023238684004,2.002,,,
1972,0.5008,1.4193,,,,0.0472,,0.0,0.0995,0.418,0.2127,,,,,,,,,,,,,,,10981737.7114315,4.87646389201072,0.898011931158997,2.093,,,
1973,0.4663,1.4047,,,,0.0378,,0.0,0.0674,0.367,0.1995,,,,,,,,,,,,,,,18588888.4312223,6.78043653276118,0.848923986651102,2.0297,,,
1974,0.4867,1.4355,,,,0.0252,,0.0,0.0642,0.3398,0.1836,,,,,,,,,,,,,,,20671608.4939839,5.44641168049363,0.83172300930281,2.038,,,
1975,0.521,1.4894,,,,0.0252,,0.0,0.0481,0.3944,0.244,,,,,,,,,,,,,,,28339141.2509005,6.73244853977547,0.861851534418477,2.163,,,
1976,0.5263,1.5139,,,,0.0283,,0.0,0.0481,0.3493,0.1924,,,,,,,,,,,,,,,25850735.2714118,6.06434287705092,0.834425885648396,2.1442,,,
1977,0.5412,1.5482,,,,0.0346,,0.0,0.0642,0.4601,0.243,,,,,,,,,,,,,,,46533705.0674897,8.6790610459001,0.86986899696118,2.2883,,,
1978,0.5553,1.5837,,,,0.0346,,0.0,0.0738,0.5006,0.2332,,,,,,,,,,,,,,,46839937.4662022,8.25156362228493,0.881562337565902,2.3744,,,
1979,0.5414,1.5953,,,,0.0346,,0.0,0.077,0.5577,0.3014,,,,,,,,,,,,,,,45017565.3535047,7.24050683847075,0.883335023395286,2.4391,,,
1980,0.4841,1.5643,,,,0.0346,,0.0,0.016,0.5146,0.3158,,,,,,,,,,,,,,,52604557.4808052,6.68311344014361,0.823717192075008,2.3378,,,
1981,0.4938,1.601,,,,0.0315,,0.0,0.0193,0.4986,0.3136,,,,,,,,,,,,,,,47982240.7433397,7.09872040705042,0.809640909611346,2.3689,,,
